time,yaw,pitch,roll
2023-04-27 13:37:43.6690,-14.062,5.747,3.024
2023-04-27 13:37:43.7520,-14.072,5.661,2.972
2023-04-27 13:37:43.8520,-14.212,5.587,2.671
2023-04-27 13:37:43.9520,-14.142,5.346,2.343
2023-04-27 13:37:44.0520,-14.102,5.176,2.221
2023-04-27 13:37:44.1510,-14.2,5.146,2.251
2023-04-27 13:37:44.2500,-14.333,5.272,2.338
2023-04-27 13:37:44.3500,-14.695,6.652,1.91
2023-04-27 13:37:44.4500,-14.57,11.613,0.84
2023-04-27 13:37:44.5490,-10.412,16.866,-1.436
2023-04-27 13:37:44.6490,-9.244,28.485,-2.219
2023-04-27 13:37:44.7480,-10.983,45.836,1.432
2023-04-27 13:37:44.8480,-15.087,59.106,1.726
2023-04-27 13:37:44.9480,-15.648,68.511,1.859
2023-04-27 13:37:45.0470,-15.046,76.058,2.771
2023-04-27 13:37:45.1470,-15.341,83.704,2.208
2023-04-27 13:37:45.2470,5.564,82.238,-20.35
2023-04-27 13:37:45.3460,18.567,83.573,-32.898
2023-04-27 13:37:45.4460,80.743,85.05,-94.698
2023-04-27 13:37:45.5460,115.93,83.294,-127.965
2023-04-27 13:37:45.6450,131.114,84.387,-141.989
2023-04-27 13:37:45.7450,151.244,85.301,-161.741
2023-04-27 13:37:45.8450,173.459,83.487,175.281
2023-04-27 13:37:45.9440,178.036,81.488,170.273
2023-04-27 13:37:46.0440,-179.797,81.394,168.107
2023-04-27 13:37:46.1440,-179.51,82.052,167.885
2023-04-27 13:37:46.2440,-175.602,86.266,164.612
2023-04-27 13:37:46.3430,-14.218,83.47,3.934
2023-04-27 13:37:46.4430,-14.68,71.186,5.016
2023-04-27 13:37:46.5420,-13.838,57.139,4.703
2023-04-27 13:37:46.6420,-12.743,44.287,4.773
2023-04-27 13:37:46.7420,-10.454,31.289,1.48
2023-04-27 13:37:46.8420,-9.335,22.398,0.794
2023-04-27 13:37:46.9410,-9.269,12.497,1.113
2023-04-27 13:37:47.0410,-8.039,5.289,2.741
2023-04-27 13:37:47.1400,-8.385,-1.489,3.535
2023-04-27 13:37:47.2400,-7.614,-7.392,4.968
2023-04-27 13:37:47.3390,-8.126,-15.002,7.508
2023-04-27 13:37:47.4390,-11.964,-19.706,8.176
2023-04-27 13:37:47.5390,-14.912,-25.132,8.065
2023-04-27 13:37:47.6400,-16.835,-29.5,7.364
2023-04-27 13:37:47.7340,-20.76,-33.393,4.176
2023-04-27 13:37:47.8340,-20.729,-35.488,3.7
2023-04-27 13:37:47.9340,-19.813,-36.928,4.635
2023-04-27 13:37:48.0330,-21.202,-38.234,4.278
2023-04-27 13:37:48.1370,-22.076,-39.102,3.778
2023-04-27 13:37:48.2360,-22.26,-39.621,3.531
2023-04-27 13:37:48.3360,-21.772,-40.353,3.683
2023-04-27 13:37:48.4360,-22.226,-41.446,3.406
2023-04-27 13:37:48.5350,-21.791,-42.178,3.693
2023-04-27 13:37:48.6350,-21.009,-41.741,4.062
2023-04-27 13:37:48.7350,-21.371,-41.058,3.815
2023-04-27 13:37:48.8340,-21.352,-40.567,3.898
2023-04-27 13:37:48.9340,-21.693,-38.373,3.905
2023-04-27 13:37:49.0340,-21.631,-36.174,3.93
2023-04-27 13:37:49.1330,-20.804,-32.104,3.954
2023-04-27 13:37:49.2330,-22.716,-23.532,2.094
2023-04-27 13:37:49.3320,-24.063,-15.165,-0.026
2023-04-27 13:37:49.4320,-21.591,-3.737,-2.611
2023-04-27 13:37:49.5320,-19.409,2.972,-3.932
2023-04-27 13:37:49.6320,-15.991,6.502,-2.146
2023-04-27 13:37:49.7320,-13.153,9.427,1.047
2023-04-27 13:37:49.8320,-10.921,14.038,2.34
2023-04-27 13:37:49.9300,-9.233,17.74,1.451
2023-04-27 13:37:50.0300,-8.819,19.611,-0.972
2023-04-27 13:37:50.1300,-9.505,18.55,-6.668
2023-04-27 13:37:50.2290,-9.967,15.997,-14.006
2023-04-27 13:37:50.3290,-10.071,19.02,-22.888
2023-04-27 13:37:50.4290,-10.218,17.333,-33.282
2023-04-27 13:37:50.5280,-11.57,17.816,-42.203
2023-04-27 13:37:50.6280,-11.734,20.635,-51.642
2023-04-27 13:37:50.7280,-13.59,23.624,-59.796
2023-04-27 13:37:50.8270,-12.671,29.597,-71.93
2023-04-27 13:37:50.9270,-13.734,30.341,-75.655
2023-04-27 13:37:51.0270,-15.171,30.355,-75.287
2023-04-27 13:37:51.1260,-15.781,30.273,-75.06
2023-04-27 13:37:51.2260,-16.62,29.636,-73.827
2023-04-27 13:37:51.3250,-17.003,29.293,-72.596
2023-04-27 13:37:51.4250,-16.829,26.621,-67.468
2023-04-27 13:37:51.5250,-14.817,24.492,-60.233
2023-04-27 13:37:51.6250,-11.585,22.485,-55.012
2023-04-27 13:37:51.7240,-8.833,17.793,-48.181
2023-04-27 13:37:51.8240,-7.0,16.412,-40.781
2023-04-27 13:37:51.9230,-5.192,18.068,-23.551
2023-04-27 13:37:52.0230,-7.225,13.628,-7.388
2023-04-27 13:37:52.1230,-6.246,8.605,8.677
2023-04-27 13:37:52.2230,-4.807,8.199,22.173
2023-04-27 13:37:52.3230,-1.26,9.322,34.142
2023-04-27 13:37:52.4220,1.045,9.093,42.176
2023-04-27 13:37:52.5220,1.129,8.251,52.907
2023-04-27 13:37:52.6220,1.013,8.456,59.597
2023-04-27 13:37:52.7220,0.84,10.047,61.618
2023-04-27 13:37:52.8210,0.523,11.761,63.968
2023-04-27 13:37:52.9200,0.927,11.081,63.288
2023-04-27 13:37:53.0200,0.698,10.95,63.883
2023-04-27 13:37:53.1190,0.793,11.184,64.09
2023-04-27 13:37:53.2190,0.415,11.563,65.023
2023-04-27 13:37:53.3180,0.042,12.334,65.345
2023-04-27 13:37:53.4180,-0.828,12.891,63.944
2023-04-27 13:37:53.5180,-1.176,13.125,63.792
2023-04-27 13:37:53.6170,-1.579,14.358,60.992
2023-04-27 13:37:53.7170,-4.069,16.176,55.56
2023-04-27 13:37:53.8170,-6.592,16.64,48.581
2023-04-27 13:37:53.9160,-7.185,15.716,43.283
2023-04-27 13:37:54.0160,-7.773,14.276,36.878
2023-04-27 13:37:54.1160,-8.881,14.584,29.919
2023-04-27 13:37:54.2150,-8.45,12.491,24.651
2023-04-27 13:37:54.3150,-7.35,9.593,21.446
2023-04-27 13:37:54.4150,-6.989,8.986,15.522
2023-04-27 13:37:54.5140,-6.575,7.882,9.753
2023-04-27 13:37:54.6140,-5.624,6.129,7.158
2023-04-27 13:37:54.7140,-5.87,5.736,6.202
2023-04-27 13:37:54.8130,-6.945,6.83,4.257
2023-04-27 13:37:54.9130,-7.982,7.715,3.071
2023-04-27 13:37:55.0130,-8.489,7.768,1.704
2023-04-27 13:37:55.1120,-9.651,8.944,0.032
2023-04-27 13:37:55.2120,-9.575,8.684,-1.293
2023-04-27 13:37:55.3120,-9.133,6.825,-1.594
2023-04-27 13:37:55.4120,-8.433,6.237,-1.292
2023-04-27 13:37:55.5120,-8.873,7.632,-1.766
2023-04-27 13:37:55.6100,-8.888,7.252,-1.864
2023-04-27 13:37:55.7100,-9.008,7.591,-1.873
2023-04-27 13:37:55.8100,-9.456,8.168,-2.215
2023-04-27 13:37:55.9090,-9.478,8.507,-1.686
2023-04-27 13:37:56.0090,-9.458,9.676,-1.037
